      freq (eV)        Lorentz     Gen_Plasma      Bren_Borm    Marachevsky          Drude
          0.050      12492.902          0.027      12770.682      12107.687      12813.891
          0.052      11605.606          0.029      11842.530      11262.997      11603.319
          0.054      10795.725          0.030      10997.540      10490.922      10536.773
          0.055      10051.581          0.031      10223.102       9780.524       9589.317
          0.057       9373.888          0.032       9519.565       9132.670       8753.719
          0.059       8752.416          0.033       8875.939       8537.754       8010.395
          0.061       8181.694          0.034       8286.249       7990.689       7347.209
          0.063       7654.231          0.035       7742.487       7484.425       6750.915
          0.065       7171.182          0.036       7245.599       7020.193       6218.902
          0.067       6723.592          0.037       6786.153       6589.495       5738.007
          0.069       6312.664          0.038       6365.194       6193.589       5306.766
          0.071       5932.888          0.039       5976.901       5827.257       4916.994
          0.073       5581.495          0.040       5618.296       5487.908       4563.900
          0.075       5254.358          0.041       5285.041       5171.622       4241.733
          0.077       4952.635          0.042       4978.200       4879.583       3950.225
          0.078       4672.540          0.043       4693.817       4608.183       3684.474
          0.080       4410.934          0.044       4428.620       4354.432       3440.519
          0.082       4168.889          0.045       4183.616       4119.413       3218.484
          0.084       3943.500          0.046       3955.793       3900.348       3014.927
          0.086       3733.415          0.048       3743.724       3695.960       2827.987
          0.088       3536.417          0.049       3545.119       3504.121       2655.157
          0.090       3353.437          0.050       3360.870       3325.768       2496.778
          0.092       3181.534          0.051       3187.973       3158.062       2349.888
          0.094       3021.571          0.052       3027.261       3001.867       2214.867
          0.096       2871.782          0.053       2876.924       2855.481       2089.898
          0.098       2731.398          0.054       2736.163       2718.171       1974.073
          0.099       2599.717          0.055       2604.249       2589.270       1866.577
          0.101       2474.843          0.056       2479.263       2466.934       1765.672
          0.103       2359.362          0.057       2363.771       2353.710       1673.260
          0.105       2250.740          0.058       2255.222       2247.132       1587.136
          0.107       2148.493          0.059       2153.115       2146.733       1506.778
          0.109       2052.172          0.060       2056.990       2052.085       1431.714
          0.111       1956.734          0.061       1961.806       1958.236       1357.953
          0.113       1871.329          0.062       1876.679       1874.191       1292.467
          0.115       1790.696          0.063       1796.351       1794.789       1231.098
          0.117       1714.517          0.064       1720.497       1719.721       1173.528
          0.119       1642.495          0.066       1648.815       1648.702       1119.470
          0.120       1574.360          0.067       1581.029       1581.472       1068.661
          0.122       1509.858          0.068       1516.883       1517.785       1020.864
          0.124       1448.757          0.069       1456.139       1457.417        975.858
          0.126       1387.878          0.070       1395.635       1397.230        931.281
          0.128       1333.100          0.071       1341.209       1343.039        891.399
          0.130       1281.113          0.072       1289.568       1291.577        853.751
          0.132       1231.745          0.073       1240.540       1242.677        818.182
          0.134       1184.837          0.074       1193.963       1196.187        784.552
          0.136       1140.242          0.075       1149.688       1151.961        752.731
          0.138       1097.821          0.076       1107.578       1109.866        722.600
          0.140       1057.448          0.077       1067.503       1069.779        694.049
          0.142       1017.029          0.078       1027.385       1029.622        665.589
          0.143        980.492          0.079        991.121        993.299        639.970
          0.145        945.661          0.080        956.551        958.652        615.643
          0.147        912.442          0.081        923.579        925.588        592.528
          0.149        880.743          0.082        892.114        894.018        570.552
          0.151        850.481          0.084        862.073        863.861        549.645
          0.153        821.576          0.085        833.376        835.040        529.743
          0.155        792.535          0.086        804.540        806.065        509.814
          0.157        766.191          0.087        778.378        779.764        491.794
          0.159        740.994          0.088        753.349        754.593        474.610
          0.161        716.882          0.089        729.394        730.492        458.214
          0.163        693.800          0.090        706.457        707.405        442.562
          0.165        671.695          0.091        684.484        685.282        427.613
          0.166        650.515          0.092        663.425        664.071        413.328
          0.168        630.215          0.093        643.235        643.729        399.669
          0.170        609.747          0.094        622.870        623.205        385.933
          0.172        591.116          0.095        604.326        604.509        373.458
          0.174        573.236          0.096        586.522        586.557        361.513
          0.176        556.072          0.097        569.424        569.311        350.071
          0.178        539.588          0.098        552.997        552.737        339.106
          0.180        523.752          0.099        537.208        536.804        328.592
          0.182        508.533          0.101        522.026        521.482        318.508
          0.184        493.902          0.102        507.423        506.740        308.830
          0.186        479.106          0.103        492.647        491.821        299.061
          0.188        465.597          0.104        479.149        478.189        290.158
          0.189        452.597          0.105        466.151        465.061        281.604
          0.191        440.082          0.106        453.630        452.414        273.381
          0.193        428.030          0.107        441.564        440.225        265.475
          0.195        416.422          0.108        429.934        428.474        257.871
          0.197        405.236          0.109        418.720        417.143        250.553
          0.199        393.898          0.110        407.344        405.647        243.145
          0.201        383.524          0.111        396.927        395.119        236.375
          0.203        373.519          0.112        386.872        384.956        229.854
          0.205        363.867          0.113        377.163        375.144        223.570
          0.207        354.554          0.114        367.787        365.667        217.512
          0.208        345.565          0.115        358.729        356.511        211.671
          0.210        336.886          0.117        349.975        347.662        206.037
          0.212        328.505          0.118        341.513        339.109        200.600
          0.214        319.991          0.119        332.908        330.410        195.082
          0.216        312.183          0.120        325.007        322.425        190.025
          0.218        304.638          0.121        317.364        314.699        185.141
          0.220        297.344          0.122        309.967        307.222        180.422
          0.222        290.292          0.123        302.806        299.985        175.863
          0.224        283.471          0.124        295.873        292.978        171.455
          0.226        276.874          0.125        289.158        286.191        167.193
          0.228        270.492          0.126        282.652        279.617        163.071
          0.230        263.995          0.127        276.021        272.916        158.877
          0.232        258.027          0.128        269.920        266.752        155.025
          0.233        252.250          0.129        264.005        260.776        151.295
          0.235        246.655          0.130        258.269        254.981        147.685
          0.237        241.237          0.131        252.704        249.361        144.188
          0.239        235.988          0.133        247.306        243.908        140.800
          0.241        230.903          0.134        242.066        238.617        137.518
          0.243        225.976          0.135        236.981        233.482        134.337
          0.245        220.954          0.136        231.787        228.238        131.093
          0.247        216.333          0.137        226.999        223.405        128.107
          0.249        211.853          0.138        222.348        218.711        125.211
          0.251        207.509          0.139        217.829        214.151        122.402
          0.253        203.297          0.140        213.438        209.720        119.676
          0.254        199.211          0.141        209.170        205.415        117.030
          0.256        195.248          0.142        205.020        201.229        114.461
          0.258        191.203          0.143        200.776        196.949        111.838
          0.260        187.478          0.144        196.857        192.998        109.420
          0.262        183.864          0.145        193.045        189.155        107.070
          0.264        180.355          0.146        189.336        185.416        104.788
          0.266        176.950          0.148        185.726        181.779        102.569
          0.268        173.644          0.149        182.212        178.239        100.413
          0.270        170.435          0.150        178.791        174.793         98.317
          0.272        167.319          0.151        175.460        171.439         96.278
          0.274        164.136          0.152        172.047        168.003         94.193
          0.276        161.202          0.153        168.892        164.826         92.267
          0.277        158.352          0.154        165.817        161.732         90.394
          0.279        155.584          0.155        162.820        158.718         88.570
          0.281        152.895          0.156        159.900        155.780         86.796
          0.283        150.283          0.157        157.053        152.917         85.068
          0.285        147.745          0.158        154.277        150.127         83.386
          0.287        145.279          0.159        151.570        147.407         81.748
          0.289        142.759          0.160        148.793        144.616         80.069
          0.291        140.434          0.162        146.221        142.033         78.517
          0.293        138.174          0.163        143.712        139.513         77.005
          0.295        135.978          0.164        141.263        137.055         75.531
          0.296        133.843          0.165        138.873        134.656         74.094
          0.298        131.768          0.166        136.540        132.315         72.694
          0.300        129.751          0.167        134.263        130.031         71.329
          0.302        127.689          0.168        131.924        127.685         69.928
          0.304        125.785          0.169        129.754        125.511         68.632
          0.306        123.933          0.170        127.636        123.388         67.367
          0.308        122.133          0.171        125.566        121.314         66.133
          0.310        120.382          0.172        123.544        119.289         64.928
          0.312        118.680          0.173        121.568        117.311         63.753
          0.314        117.023          0.174        119.636        115.378         62.606
          0.316        115.412          0.176        117.748        113.489         61.487
          0.318        113.763          0.177        115.807        111.548         60.337
          0.320        112.240          0.178        114.005        109.746         59.271
          0.321        110.757          0.179        112.242        107.984         58.230
          0.323        109.314          0.180        110.518        106.262         57.213
          0.325        107.909          0.181        108.832        104.578         56.219
          0.327        106.541          0.182        107.183        102.931         55.249
          0.329        105.209          0.183        105.569        101.320         54.300
          0.331        103.844          0.184        103.907         99.663         53.326
          0.333        102.581          0.185        102.363         98.123         52.421
          0.335        101.350          0.186        100.852         96.617         51.536
          0.337        100.150          0.187         99.372         95.142         50.672
          0.339         98.979          0.189         97.924         93.700         49.826
          0.341         97.837          0.190         96.506         92.287         49.000
          0.342         96.723          0.191         95.117         90.905         48.191
          0.344         95.634          0.192         93.756         89.551         47.400
          0.346         94.516          0.193         92.354         88.157         46.586
          0.348         93.478          0.194         91.050         86.860         45.830
