      freq (eV)        Lorentz     Gen_Plasma      Bren_Borm    Marachevsky          Drude
          0.050     -11704.686     -32732.289     -12562.235     -10950.383     -26555.788
          0.052     -11290.133     -30355.660     -12091.706     -10574.904     -24970.310
          0.054     -10889.858     -28228.728     -11639.303     -10211.559     -23513.565
          0.055     -10501.903     -26308.211     -11202.616      -9858.648     -22166.303
          0.057     -10130.231     -24585.742     -10785.904      -9519.852     -20931.331
          0.059      -9772.613     -23027.014     -10386.465      -9193.225     -19791.351
          0.061      -9428.811     -21611.914     -10003.852      -8878.619     -18737.444
          0.063      -9096.834     -20316.881      -9635.693      -8574.277     -17756.718
          0.065      -8779.797     -19140.705      -9285.282      -8283.119     -16852.226
          0.067      -8474.000     -18058.354      -8948.384      -8001.809     -16008.039
          0.069      -8182.227     -17070.203      -8627.929      -7732.964     -15227.206
          0.071      -7902.435     -16160.964      -8321.540      -7474.758     -14500.034
          0.073      -7634.195     -15322.453      -8028.634      -7226.843     -13821.912
          0.075      -7375.758     -14543.618      -7747.198      -6987.646     -13185.487
          0.077      -7129.379     -13826.277      -7479.592      -6759.295     -12593.634
          0.078      -6893.252     -13160.705      -7223.761      -6540.160     -12039.555
          0.080      -6665.794     -12538.911      -6977.910      -6328.802     -11517.571
          0.082      -6448.956     -11963.052      -6744.074      -6127.068     -11030.353
          0.084      -6241.120     -11425.948      -6520.437      -5933.486     -10572.600
          0.086      -6041.892     -10924.200      -6306.511      -5747.716     -10142.046
          0.088      -5849.911     -10452.392      -6100.782      -5568.511      -9734.577
          0.090      -5666.804     -10012.711      -5904.941      -5397.416      -9352.556
          0.092      -5490.295      -9598.089      -5716.506      -5232.324      -8990.260
          0.094      -5321.879      -9210.647      -5537.030      -5074.653      -8649.900
          0.096      -5160.289      -8846.182      -5365.121      -4923.237      -8328.115
          0.098      -5005.212      -8502.913      -5200.409      -4777.798      -8023.606
          0.099      -4856.347      -8179.228      -5042.542      -4638.069      -7735.182
          0.101      -4711.940      -7870.556      -4889.633      -4502.416      -7458.965
          0.103      -4575.413      -7583.425      -4745.277      -4374.068      -7200.991
          0.105      -4444.218      -7311.710      -4606.750      -4250.642      -6955.946
          0.107      -4318.110      -7054.328      -4473.771      -4131.920      -6722.995
          0.109      -4196.857      -6810.288      -4346.074      -4017.691      -6501.368
          0.111      -4074.222      -6566.822      -4217.083      -3902.084      -6279.530
          0.113      -3962.250      -6347.410      -4099.449      -3796.460      -6078.981
          0.115      -3854.487      -6138.803      -3986.366      -3694.748      -5887.751
          0.117      -3750.743      -5940.301      -3877.619      -3596.772      -5705.279
