      freq (eV)         re_eps         im_eps       re_aprox       im_aprox     kramers_re     kramers_im
          0.050       9425.788      -1933.891          2.380          0.007          6.104         -0.097
          0.052       8720.310      -1403.319          2.381          0.007          6.104         -0.101
          0.054       8083.565       -972.773          2.381          0.008          6.104         -0.105
          0.055       7456.303       -602.317          2.381          0.008          6.104         -0.109
          0.057       6901.331       -302.719          2.381          0.008          6.105         -0.112
          0.059       6411.351        -61.395          2.381          0.008          6.105         -0.116
          0.061       5947.444        139.791          2.381          0.009          6.105         -0.120
          0.063       5496.718        313.085          2.381          0.009          6.105         -0.124
          0.065       5122.226        443.098          2.382          0.009          6.105         -0.127
          0.067       4748.039        554.993          2.382          0.009          6.105         -0.131
          0.069       4417.206        643.234          2.382          0.010          6.105         -0.135
          0.071       4100.034        711.006          2.382          0.010          6.105         -0.139
          0.073       3836.912        761.100          2.382          0.010          6.105         -0.142
          0.075       3566.487        806.267          2.383          0.011          6.105         -0.146
          0.077       3332.634        833.775          2.383          0.011          6.105         -0.150
          0.078       3114.555        854.526          2.383          0.011          6.106         -0.154
          0.080       2910.571        869.481          2.383          0.011          6.106         -0.157
          0.082       2724.353        875.516          2.383          0.012          6.106         -0.161
          0.084       2552.600        877.073          2.384          0.012          6.106         -0.165
          0.086       2393.046        874.013          2.384          0.012          6.106         -0.169
          0.088       2242.577        868.843          2.384          0.012          6.106         -0.172
          0.090       2106.556        859.222          2.384          0.013          6.106         -0.176
          0.092       1980.260        850.112          2.385          0.013          6.106         -0.180
          0.094       1861.900        835.133          2.385          0.013          6.107         -0.184
          0.096       1753.115        820.102          2.385          0.014          6.107         -0.187
          0.098       1651.606        805.927          2.385          0.014          6.107         -0.191
          0.099       1559.182        788.423          2.386          0.014          6.107         -0.195
          0.101       1468.965        771.328          2.386          0.014          6.107         -0.199
          0.103       1387.991        752.740          2.386          0.015          6.107         -0.202
          0.105       1314.946        734.864          2.387          0.015          6.107         -0.206
          0.107       1243.995        716.222          2.387          0.015          6.107         -0.210
          0.109       1180.368        697.286          2.387          0.015          6.108         -0.214
          0.111       1107.530        683.047          2.387          0.016          6.108         -0.217
          0.113       1050.981        663.533          2.388          0.016          6.108         -0.221
          0.115        999.751        645.902          2.388          0.016          6.108         -0.225
          0.117        949.279        627.472          2.388          0.017          6.108         -0.229
          0.119        903.046        609.530          2.389          0.017          6.108         -0.232
          0.120        860.571        591.339          2.389          0.017          6.109         -0.236
          0.122        819.405        575.136          2.389          0.017          6.109         -0.240
          0.124        780.132        559.142          2.390          0.018          6.109         -0.244
          0.126        736.866        544.719          2.390          0.018          6.109         -0.248
          0.128        702.558        529.601          2.390          0.018          6.109         -0.251
          0.130        671.040        514.249          2.391          0.018          6.109         -0.255
          0.132        642.000        499.818          2.391          0.019          6.110         -0.259
          0.134        614.146        483.448          2.392          0.019          6.110         -0.263
          0.136        587.204        470.269          2.392          0.019          6.110         -0.266
          0.138        561.918        456.400          2.392          0.020          6.110         -0.270
          0.140        538.049        443.951          2.393          0.020          6.110         -0.274
          0.142        510.976        431.411          2.393          0.020          6.111         -0.278
          0.143        490.485        419.030          2.394          0.020          6.111         -0.282
          0.145        469.769        407.357          2.394          0.021          6.111         -0.285
          0.147        451.643        395.672          2.394          0.021          6.111         -0.289
          0.149        432.932        384.448          2.395          0.021          6.111         -0.293
          0.151        416.472        373.555          2.395          0.021          6.112         -0.297
          0.153        400.111        363.057          2.396          0.022          6.112         -0.300
          0.155        380.549        353.786          2.396          0.022          6.112         -0.304
          0.157        367.101        343.706          2.396          0.022          6.347         -0.308
          0.159        353.333        334.190          2.397          0.023          6.112         -0.312
          0.161        341.125        324.886          2.397          0.023          6.113         -0.316
          0.163        328.361        315.838          2.398          0.023          6.113         -0.319
          0.165        315.933        307.287          2.398          0.023          6.113         -0.323
          0.166        304.739        298.772          2.399          0.024          6.113         -0.327
          0.168        294.682        290.631          2.399          0.024          6.113         -0.331
          0.170        281.514        283.467          2.400          0.024          6.114         -0.335
          0.172        272.560        275.842          2.400          0.024          6.114         -0.338
          0.174        262.479        268.487          2.401          0.025          6.114         -0.342
          0.176        253.191        261.429          2.401          0.025          6.114         -0.346
          0.178        245.622        254.494          2.402          0.025          6.115         -0.350
          0.180        237.704        247.908          2.402          0.026          6.115         -0.353
          0.182        230.368        241.392          2.403          0.026          6.115         -0.357
          0.184        223.552        235.070          2.403          0.026          6.115         -0.361
          0.186        213.742        229.439          2.404          0.026          6.116         -0.365
          0.188        206.860        223.642          2.404          0.027          6.116         -0.369
          0.189        200.322        217.896          2.405          0.027          6.116         -0.372
          0.191        195.078        212.319          2.405          0.027          6.116         -0.376
          0.193        188.077        207.125          2.406          0.028          6.117         -0.380
          0.195        183.273        201.929          2.406          0.028          6.117         -0.384
          0.197        178.621        196.847          2.407          0.028          6.117         -0.388
          0.199        171.079        192.455          2.408          0.028          6.118         -0.392
          0.201        165.659        187.625          2.408          0.029          6.118         -0.395
          0.203        161.267        183.146          2.409          0.029          6.118         -0.399
          0.205        156.865        178.630          2.409          0.029          6.118         -0.403
          0.207        152.418        174.288          2.410          0.029          6.119         -0.407
          0.208        148.893        170.229          2.411          0.030          6.119         -0.411
