      freq (eV)        Lorentz      Bren_Borm
          0.050      12492.040      12676.604
          0.052      11604.709      11750.352
          0.054      10794.793      10907.188
          0.055      10050.614      10134.517
          0.057       9372.886       9432.672
          0.059       8751.378       8790.680
          0.061       8180.621       8202.568
          0.063       7653.122       7660.340
          0.065       7170.037       7164.927
          0.067       6722.410       6706.918
          0.069       6311.445       6287.344
          0.071       5931.632       5900.393
          0.073       5580.202       5543.091
          0.075       5253.027       5211.107
          0.077       4951.267       4905.495
          0.078       4671.133       4622.305
          0.080       4409.489       4358.273
          0.082       4167.405       4114.397
          0.084       3941.977       3887.672
          0.086       3731.854       3676.670
          0.088       3534.815       3479.110
          0.090       3351.795       3295.873
          0.092       3179.852       3123.967
          0.094       3019.848       2964.215
          0.096       2870.018       2814.814
          0.098       2729.592       2674.965
          0.099       2597.869       2543.940
          0.101       2472.953       2419.831
          0.103       2357.429       2305.180
          0.105       2248.765       2197.453
          0.107       2146.474       2096.147
          0.109       2050.109       2000.805
          0.111       1954.625       1906.426
          0.113       1869.175       1822.044
          0.115       1788.497       1742.445
          0.117       1712.272       1667.302
          0.119       1640.204       1596.317
          0.120       1572.022       1529.211
          0.122       1507.473       1465.729
          0.124       1446.324       1405.636
          0.126       1385.394       1345.801
          0.128       1330.566       1291.997
          0.130       1278.529       1240.965
          0.132       1229.111       1192.532
          0.134       1182.152       1146.537
          0.136       1137.506       1102.833
          0.138       1095.033       1061.282
          0.140       1054.606       1021.753
          0.142       1014.131        982.200
          0.143        977.540        946.460
          0.145        942.654        912.404
          0.147        909.379        879.936
          0.149        877.624        848.965
          0.151        847.304        819.408
          0.153        818.341        791.185
          0.155        789.238        762.840
          0.157        762.834        737.133
          0.159        737.576        712.552
          0.161        713.403        689.037
          0.163        690.259        666.530
          0.165        668.090        644.980
          0.166        646.846        624.337
          0.168        626.481        604.553
          0.170        605.943        584.610
          0.172        587.245        566.458
          0.174        569.297        549.041
          0.176        552.063        532.322
          0.178        535.509        516.267
          0.180        519.602        500.843
          0.182        504.310        486.021
          0.184        489.605        471.771
          0.186        474.730        457.361
          0.188        461.145        444.204
          0.189        448.068        431.541
          0.191        435.474        419.350
          0.193        423.343        407.609
          0.195        411.653        396.298
          0.197        400.385        385.398
          0.199        388.959        374.347
          0.201        378.499        364.234
          0.203        368.408        354.478
          0.205        358.668        345.064
          0.207        349.265        335.977
          0.208        340.184        327.204
          0.210        331.413        318.731
          0.212        322.938        310.546
          0.214        314.323        302.227
          0.216        306.417        294.595
          0.218        298.773        287.215
          0.220        291.378        280.079
          0.222        284.223        273.174
          0.224        277.298        266.493
          0.226        270.595        260.027
          0.228        264.104        253.766
          0.230        257.492        247.390
          0.232        251.412        241.527
          0.233        245.520        235.847
          0.235        239.809        230.343
          0.237        234.273        225.007
          0.239        228.905        219.833
          0.241        223.698        214.816
          0.243        218.647        209.950
          0.245        213.491        204.983
          0.247        208.742        200.408
          0.249        204.131        195.968
          0.251        199.654        191.657
          0.253        195.306        187.470
          0.254        191.083        183.404
          0.256        186.980        179.454
          0.258        182.786        175.417
          0.260        178.916        171.692
          0.262        175.154        168.072
          0.264        171.496        164.552
          0.266        167.938        161.129
          0.268        164.478        157.800
          0.270        161.112        154.562
          0.272        157.836        151.411
          0.274        154.482        148.185
          0.276        151.383        145.205
          0.277        148.366        142.304
          0.279        145.428        139.479
          0.281        142.567        136.728
          0.283        139.780        134.048
          0.285        137.065        131.438
          0.287        134.419        128.895
          0.289        131.706        126.287
          0.291        129.196        123.875
          0.293        126.749        121.524
          0.295        124.364        119.231
          0.296        122.037        116.995
          0.298        119.768        114.815
          0.300        117.554        112.688
          0.302        115.282        110.506
          0.304        113.178        108.484
          0.306        111.124        106.511
          0.308        109.119        104.585
          0.310        107.162        102.706
          0.312        105.251        100.871
          0.314        103.385         99.079
          0.316        101.563         97.329
          0.318         99.691         95.531
          0.320         97.954         93.864
          0.321         96.258         92.235
          0.323         94.600         90.644
          0.325         92.980         89.089
          0.327         91.396         87.568
          0.329         89.849         86.083
          0.331         88.257         84.555
          0.333         86.779         83.136
          0.335         85.334         81.749
          0.337         83.920         80.393
          0.339         82.538         79.066
          0.341         81.185         77.769
          0.342         79.862         76.499
          0.344         78.568         75.257
          0.346         77.235         73.978
          0.348         75.996         72.790
          0.350         74.784         71.627
          0.352         73.597         70.488
          0.354         72.435         69.374
          0.356         71.298         68.283
          0.358         70.184         67.214
          0.360         69.093         66.168
          0.362         67.969         65.089
          0.363         66.923         64.087
          0.365         65.899         63.104
          0.367         64.895         62.142
          0.369         63.912         61.199
          0.371         62.948         60.275
          0.373         62.004         59.369
          0.375         61.078         58.481
          0.377         60.123         57.566
          0.379         59.235         56.714
          0.381         58.363         55.878
          0.383         57.509         55.059
          0.385         56.671         54.256
          0.386         55.849         53.468
          0.388         55.044         52.696
          0.390         54.212         51.899
          0.392         53.437         51.156
          0.394         52.677         50.427
          0.396         51.931         49.713
          0.398         51.200         49.011
          0.400         50.481         48.323
          0.402         49.777         47.647
          0.404         49.085         46.984
          0.406         48.370         46.300
          0.407         47.704         45.661
          0.409         47.050         45.035
          0.411         46.408         44.419
          0.413         45.778         43.815
          0.415         45.159         43.222
          0.417         44.551         42.640
          0.419         43.954         42.067
          0.421         43.337         41.476
          0.423         42.761         40.925
          0.425         42.196         40.383
          0.427         41.640         39.850
          0.428         41.094         39.327
          0.430         40.558         38.813
          0.432         40.030         38.308
          0.434         39.485         37.786
          0.436         38.977         37.299
          0.438         38.476         36.820
          0.440         37.985         36.349
          0.442         37.502         35.886
          0.444         37.027         35.431
          0.446         36.559         34.983
          0.448         36.100         34.543
          0.450         35.625         34.088
          0.452         35.181         33.663
          0.453         34.745         33.245
          0.455         34.315         32.834
          0.457         33.893         32.429
          0.459         33.478         32.032
          0.461         33.069         31.640
          0.463         32.667         31.255
          0.465         32.251         30.857
          0.467         31.862         30.484
          0.469         31.479         30.118
          0.471         31.103         29.757
          0.472         30.732         29.402
          0.474         30.367         29.053
          0.476         30.008         28.709
          0.478         29.655         28.371
          0.480         29.289         28.020
          0.482         28.947         27.693
          0.484         28.610         27.370
          0.486         28.278         27.052
          0.488         27.951         26.740
          0.490         27.630         26.432
          0.492         27.313         26.129
          0.493         27.001         25.830
          0.495         26.678         25.521
          0.497         26.376         25.231
          0.499         26.078         24.946
          0.501         25.785         24.665
          0.503         25.496         24.389
          0.505         25.211         24.116
          0.507         24.931         23.848
          0.509         24.640         23.570
          0.511         24.368         23.309
          0.513         24.100         23.053
          0.515         23.836         22.800
          0.518         23.319         22.305
          0.520         23.066         22.063
          0.522         22.804         21.812
          0.524         22.559         21.577
          0.526         22.317         21.346
          0.528         22.078         21.117
          0.530         21.843         20.892
          0.534         21.383         20.452
          0.536         21.158         20.236
          0.537         20.936         20.024
          0.539         20.705         19.803
          0.543         20.276         19.393
          0.545         20.067         19.192
          0.547         19.860         18.994
          0.549         19.655         18.798
          0.553         19.245         18.405
          0.555         19.049         18.218
          0.557         18.856         18.033
          0.559         18.665         17.851
          0.562         18.292         17.493
          0.564         18.108         17.318
          0.566         17.928         17.145
          0.570         17.564         16.797
          0.572         17.391         16.631
          0.576         17.051         16.306
          0.578         16.884         16.146
          0.580         16.720         15.989
          0.584         16.388         15.672
          0.585         16.230         15.520
          0.589         15.920         15.224
          0.591         15.768         15.078
          0.595         15.469         14.792
          0.597         15.315         14.645
          0.601         15.027         14.370
          0.603         14.886         14.235
          0.606         14.610         13.970
          0.608         14.474         13.840
          0.612         14.207         13.585
          0.614         14.070         13.453
          0.618         13.813         13.208
          0.620         13.680         13.081
          0.623         13.478         12.887
          0.626         13.274         12.692
          0.629         13.073         12.500
          0.633         12.877         12.312
          0.636         12.684         12.128
          0.639         12.489         11.942
          0.642         12.299         11.759
          0.646         12.112         11.581
          0.649         11.924         11.400
          0.652         11.739         11.224
          0.656         11.553         11.046
          0.659         11.371         10.871
          0.663         11.192         10.701
          0.667         11.013         10.529
          0.670         10.837         10.361
          0.674         10.665         10.196
          0.677         10.492         10.031
          0.681         10.322          9.869
          0.685         10.152          9.706
          0.689          9.986          9.547
          0.693          9.823          9.391
          0.697          9.659          9.235
          0.701          9.496          9.078
          0.705          9.335          8.925
          0.709          9.179          8.775
          0.713          9.022          8.625
          0.717          8.868          8.478
          0.721          8.718          8.335
          0.725          8.565          8.188
          0.729          8.418          8.048
          0.734          8.272          7.907
          0.738          8.125          7.767
          0.742          7.982          7.630
          0.747          7.839          7.494
          0.751          7.699          7.360
          0.756          7.560          7.227
          0.761          7.424          7.097
          0.765          7.289          6.967
          0.770          7.154          6.838
          0.775          7.022          6.712
          0.780          6.891          6.587
          0.785          6.763          6.465
          0.790          6.636          6.343
          0.795          6.509          6.222
          0.800          6.386          6.104
          0.805          6.263          5.987
          0.810          6.141          5.870
          0.816          6.023          5.757
          0.821          5.905          5.644
          0.827          5.788          5.533
          0.832          5.675          5.424
          0.838          5.562          5.316
          0.843          5.450          5.209
          0.849          5.340          5.104
          0.855          5.230          4.999
          0.861          5.124          4.897
          0.867          5.018          4.796
          0.918          4.224          4.037
          0.925          4.130          3.947
          0.932          4.039          3.861
          0.939          3.948          3.774
          0.946          3.860          3.690
          0.954          3.773          3.606
          0.961          3.686          3.523
          0.969          3.602          3.442
          0.976          3.517          3.361
          0.984          3.435          3.283
          0.992          3.354          3.206
          1.000          3.274          3.129
          1.008          3.196          3.055
          1.016          3.122          2.983
          1.025          3.040          2.905
          1.033          2.970          2.839
          1.042          2.894          2.766
          1.051          2.820          2.695
          1.060          2.749          2.627
          1.069          2.681          2.562
          1.078          2.614          2.498
          1.088          2.543          2.430
          1.097          2.481          2.371
          1.107          2.414          2.307
          1.117          2.350          2.246
          1.127          2.288          2.187
          1.137          2.228          2.130
          1.148          2.165          2.069
          1.159          2.104          2.011
          1.170          2.045          1.955
          1.181          1.989          1.901
          1.192          1.934          1.849
          1.204          1.877          1.794
          1.216          1.822          1.741
          1.228          1.769          1.691
          1.240          1.719          1.642
          1.252          1.670          1.596
          1.265          1.619          1.547
          1.278          1.570          1.500
          1.291          1.523          1.455
          1.305          1.475          1.409
          1.319          1.428          1.365
          1.333          1.384          1.322
          1.348          1.338          1.279
          1.362          1.297          1.240
          1.378          1.253          1.197
          1.393          1.213          1.159
          1.409          1.172          1.120
          1.425          1.133          1.083
          1.442          1.093          1.045
          1.459          1.056          1.009
          1.476          1.020          0.974
          1.494          0.983          0.939
          1.512          0.948          0.906
          1.531          0.914          0.873
          1.550          0.880          0.841
          1.569          0.849          0.811
          1.590          0.816          0.779
          1.610          0.786          0.751
