      freq (eV)        Lorentz     Gen_Plasma      Bren_Borm
          0.200      -1445.820      -2024.000      -1474.915
          0.210      -1319.363      -1835.735      -1345.060
          0.220      -1208.492      -1672.554      -1231.346
          0.230      -1110.793      -1530.191      -1131.246
          0.240      -1024.293      -1405.250      -1042.701
          0.250       -947.367      -1295.000       -964.022
          0.260       -878.673      -1197.225       -893.813
          0.270       -817.092      -1110.111       -830.915
          0.280       -761.685      -1032.163       -774.357
          0.290       -711.664       -962.139       -723.323
          0.300       -666.359       -899.000       -677.123
          0.310       -625.201       -841.872       -635.170
          0.320       -587.703       -790.016       -596.964
          0.330       -553.449       -742.802       -562.074
          0.340       -522.076       -699.692       -530.130
          0.350       -493.273       -660.225       -500.811
          0.360       -466.770       -624.000       -473.840
          0.370       -442.328       -590.673       -448.974
          0.380       -419.741       -559.942       -426.001
          0.390       -398.828       -531.544       -404.734
          0.400       -379.427       -505.250       -385.009
          0.410       -361.397       -480.856       -366.681
          0.420       -344.613       -458.184       -349.623
          0.430       -328.962       -437.075       -333.719
          0.440       -314.347       -417.388       -318.869
          0.450       -300.676       -399.000       -304.982
          0.460       -287.873       -381.798       -291.977
          0.470       -275.864       -365.682       -279.781
          0.480       -264.585       -350.562       -268.328
          0.490       -253.980       -336.359       -257.559
          0.500       -243.995       -323.000       -247.421
          0.510       -234.583       -310.419       -237.867
          0.520       -225.702       -298.556       -228.851
          0.530       -217.311       -287.359       -220.335
          0.540       -209.377       -276.778       -212.283
          0.550       -201.866       -266.769       -204.660
          0.560       -194.749       -257.291       -197.438
          0.570       -188.000       -248.307       -190.589
          0.580       -181.592       -239.785       -184.088
          0.590       -175.504       -231.692       -177.912
          0.600       -169.715       -224.000       -172.038
          0.610       -164.205       -216.683       -166.449
          0.620       -158.957       -209.718       -161.126
          0.630       -153.955       -203.082       -156.052
          0.640       -149.183       -196.754       -151.212
          0.650       -144.628       -190.716       -146.592
          0.660       -140.277       -184.950       -142.178
          0.670       -136.117       -179.441       -137.960
          0.680       -132.138       -174.173       -133.925
          0.690       -128.329       -169.132       -130.062
          0.700       -124.681       -164.306       -126.363
          0.710       -121.185       -159.682       -122.818
          0.720       -117.833       -155.250       -119.419
          0.730       -114.617       -150.999       -116.158
          0.740       -111.529       -146.918       -113.027
          0.750       -108.563       -143.000       -110.020
          0.760       -105.713       -139.235       -107.130
          0.770       -102.972       -135.617       -104.352
          0.780       -100.335       -132.136       -101.679
          0.790        -97.797       -128.787        -99.106
          0.800        -95.354       -125.563        -96.629
          0.810        -92.999       -122.457        -94.242
          0.820        -90.730       -119.464        -91.942
          0.830        -88.542       -116.579        -89.724
          0.840        -86.431       -113.796        -87.584
          0.850        -84.394       -111.111        -85.519
          0.860        -82.427       -108.519        -83.526
          0.870        -80.527       -106.015        -81.600
          0.880        -78.691       -103.597        -79.739
          0.890        -76.917       -101.260        -77.941
          0.900        -75.201        -99.000        -76.202
          0.910        -73.541        -96.814        -74.519
          0.920        -71.935        -94.699        -72.891
          0.930        -70.380        -92.652        -71.315
          0.940        -68.874        -90.670        -69.789
          0.950        -67.415        -88.751        -68.311
          0.960        -66.002        -86.891        -66.878
          0.970        -64.631        -85.088        -65.490
          0.980        -63.303        -83.340        -64.143
          0.990        -62.014        -81.645        -62.837
          1.000        -60.763        -80.000        -61.570
          1.010        -59.550        -78.404        -60.340
          1.020        -58.372        -76.855        -59.146
          1.030        -57.227        -75.350        -57.987
          1.040        -56.116        -73.889        -56.860
          1.050        -55.036        -72.469        -55.766
          1.060        -53.986        -71.090        -54.702
          1.070        -52.966        -69.749        -53.668
          1.080        -51.973        -68.444        -52.663
          1.090        -51.008        -67.176        -51.685
          1.100        -50.069        -65.942        -50.733
          1.110        -49.155        -64.741        -49.807
          1.120        -48.265        -63.573        -48.906
          1.130        -47.399        -62.435        -48.028
          1.140        -46.556        -61.327        -47.173
          1.150        -45.734        -60.248        -46.341
          1.160        -44.933        -59.196        -45.529
          1.170        -44.153        -58.172        -44.739
          1.180        -43.393        -57.173        -43.968
          1.190        -42.651        -56.199        -43.217
          1.200        -41.928        -55.250        -42.485
          1.210        -41.223        -54.324        -41.770
          1.220        -40.535        -53.421        -41.073
          1.230        -39.863        -52.540        -40.393
          1.240        -39.208        -51.680        -39.729
          1.250        -38.568        -50.840        -39.081
          1.260        -37.944        -50.020        -38.448
          1.270        -37.334        -49.220        -37.830
          1.280        -36.739        -48.438        -37.227
          1.290        -36.157        -47.675        -36.637
          1.300        -35.588        -46.929        -36.061
          1.310        -35.033        -46.200        -35.499
          1.320        -34.490        -45.488        -34.948
          1.330        -33.959        -44.791        -34.411
          1.340        -33.440        -44.110        -33.885
          1.350        -32.932        -43.444        -33.371
          1.360        -32.436        -42.793        -32.868
          1.370        -31.950        -42.156        -32.376
          1.380        -31.475        -41.533        -31.894
          1.390        -31.010        -40.923        -31.423
          1.400        -30.555        -40.327        -30.963
          1.410        -30.110        -39.742        -30.511
          1.420        -29.674        -39.171        -30.070
          1.430        -29.247        -38.611        -29.637
          1.440        -28.829        -38.062        -29.214
          1.450        -28.419        -37.526        -28.799
          1.460        -28.018        -37.000        -28.392
          1.470        -27.625        -36.484        -27.994
          1.480        -27.240        -35.980        -27.604
          1.490        -26.863        -35.485        -27.222
          1.500        -26.493        -35.000        -26.847
          1.510        -26.131        -34.525        -26.480
          1.520        -25.775        -34.059        -26.120
          1.530        -25.427        -33.602        -25.767
          1.540        -25.085        -33.154        -25.421
          1.550        -24.750        -32.715        -25.082
          1.560        -24.421        -32.284        -24.749
          1.570        -24.099        -31.861        -24.422
          1.580        -23.783        -31.447        -24.102
          1.590        -23.472        -31.040        -23.787
          1.600        -23.168        -30.641        -23.479
          1.610        -22.869        -30.249        -23.176
          1.620        -22.575        -29.864        -22.878
          1.630        -22.287        -29.487        -22.587
          1.640        -22.004        -29.116        -22.300
          1.650        -21.727        -28.752        -22.019
          1.660        -21.454        -28.395        -21.743
          1.670        -21.186        -28.044        -21.471
          1.680        -20.923        -27.699        -21.205
          1.690        -20.665        -27.360        -20.943
          1.700        -20.411        -27.028        -20.686
