      freq (eV)        Lorentz     Gen_Plasma      Bren_Borm
          0.050          0.862          0.027         94.078
          0.052          0.897          0.029         92.178
          0.054          0.932          0.030         90.352
          0.055          0.967          0.031         88.586
          0.057          1.002          0.032         86.893
          0.059          1.038          0.033         85.259
          0.061          1.073          0.034         83.681
          0.063          1.109          0.035         82.148
          0.065          1.146          0.036         80.672
          0.067          1.182          0.037         79.235
          0.069          1.219          0.038         77.850
          0.071          1.256          0.039         76.508
          0.073          1.293          0.040         75.205
          0.075          1.331          0.041         73.934
          0.077          1.368          0.042         72.705
          0.078          1.406          0.043         71.512
          0.080          1.445          0.044         70.346
          0.082          1.483          0.045         69.218
          0.084          1.522          0.046         68.121
          0.086          1.562          0.048         67.054
          0.088          1.602          0.049         66.009
          0.090          1.642          0.050         64.997
          0.092          1.682          0.051         64.006
          0.094          1.723          0.052         63.046
          0.096          1.764          0.053         62.110
          0.098          1.805          0.054         61.198
          0.099          1.847          0.055         60.309
          0.101          1.890          0.056         59.432
          0.103          1.933          0.057         58.591
          0.105          1.975          0.058         57.769
          0.107          2.019          0.059         56.967
          0.109          2.063          0.060         56.185
          0.111          2.109          0.061         55.381
          0.113          2.154          0.062         54.635
          0.115          2.199          0.063         53.906
          0.117          2.245          0.064         53.194
          0.119          2.291          0.066         52.498
          0.120          2.338          0.067         51.818
          0.122          2.386          0.068         51.153
          0.124          2.434          0.069         50.503
          0.126          2.485          0.070         49.834
          0.128          2.534          0.071         49.212
          0.130          2.583          0.072         48.604
          0.132          2.634          0.073         48.008
          0.134          2.685          0.074         47.426
          0.136          2.736          0.075         46.855
          0.138          2.788          0.076         46.296
          0.140          2.841          0.077         45.749
          0.142          2.898          0.078         45.185
          0.143          2.952          0.079         44.661
          0.145          3.007          0.080         44.147
          0.147          3.063          0.081         43.643
          0.149          3.119          0.082         43.149
          0.151          3.177          0.084         42.665
          0.153          3.235          0.085         42.190
          0.155          3.297          0.086         41.701
          0.157          3.357          0.087         41.244
          0.159          3.417          0.088         40.797
          0.161          3.479          0.089         40.358
          0.163          3.541          0.090         39.927
