      freq (eV)        Lorentz     Gen_Plasma      Bren_Borm
          0.050         17.976          6.318         47.450
          0.052         17.985          6.318         45.407
          0.054         17.994          6.318         43.477
          0.055         18.004          6.318         41.643
          0.057         18.013          6.318         39.917
          0.059         18.023          6.318         38.282
          0.061         18.034          6.318         36.731
          0.063         18.045          6.318         35.252
          0.065         18.056          6.318         33.855
          0.067         18.068          6.318         32.520
          0.069         18.079          6.319         31.258
          0.071         18.092          6.319         30.056
          0.073         18.104          6.319         28.912
          0.075         18.117          6.319         27.816
          0.077         18.130          6.319         26.777
          0.078         18.144          6.319         25.786
          0.080         18.158          6.319         24.835
          0.082         18.172          6.319         23.932
          0.084         18.186          6.319         23.069
          0.086         18.201          6.319         22.244
          0.088         18.217          6.319         21.452
          0.090         18.232          6.319         20.697
          0.092         18.248          6.319         19.971
          0.094         18.264          6.319         19.280
          0.096         18.281          6.319         18.617
          0.098         18.298          6.320         17.982
          0.099         18.315          6.320         17.373
          0.101         18.333          6.320         16.783
          0.103         18.350          6.320         16.226
          0.105         18.369          6.320         15.690
          0.107         18.387          6.320         15.176
          0.109         18.406          6.320         14.682
          0.111         18.426          6.320         14.182
          0.113         18.445          6.320         13.726
          0.115         18.465          6.320         13.287
          0.117         18.485          6.320         12.865
          0.119         18.506          6.320         12.458
          0.120         18.526          6.321         12.066
          0.122         18.547          6.321         11.689
          0.124         18.569          6.321         11.325
          0.126         18.592          6.321         10.956
          0.128         18.614          6.321         10.618
          0.130         18.636          6.321         10.293
          0.132         18.659          6.321          9.978
          0.134         18.682          6.321          9.675
          0.136         18.705          6.321          9.381
          0.138         18.728          6.321          9.098
          0.140         18.752          6.322          8.825
          0.142         18.778          6.322          8.546
          0.143         18.802          6.322          8.291
          0.145         18.827          6.322          8.044
          0.147         18.852          6.322          7.805
          0.149         18.877          6.322          7.574
          0.151         18.903          6.322          7.350
          0.153         18.928          6.322          7.133
          0.155         18.956          6.322          6.913
          0.157         18.982          6.323          6.710
          0.159         19.009          6.323          6.513
          0.161         19.036          6.323          6.322
          0.163         19.063          6.323          6.138
          0.165         19.090          6.323          5.958
          0.166         19.118          6.323          5.784
          0.168         19.146          6.323          5.616
          0.170         19.175          6.323          5.444
          0.172         19.203          6.324          5.285
          0.174         19.232          6.324          5.131
          0.176         19.260          6.324          4.981
          0.178         19.289          6.324          4.836
          0.180         19.318          6.324          4.695
          0.182         19.347          6.324          4.558
          0.184         19.376          6.324          4.424
          0.186         19.407          6.325          4.288
          0.188         19.436          6.325          4.162
          0.189         19.466          6.325          4.040
          0.191         19.495          6.325          3.921
          0.193         19.525          6.325          3.805
          0.195         19.554          6.325          3.693
          0.197         19.584          6.325          3.583
          0.199         19.615          6.326          3.471
          0.201         19.645          6.326          3.367
          0.203         19.675          6.326          3.266
          0.205         19.704          6.326          3.168
          0.207         19.734          6.326          3.072
          0.208         19.763          6.326          2.978
          0.210         19.792          6.327          2.887
          0.212         19.821          6.327          2.799
          0.214         19.852          6.327          2.708
          0.216         19.880          6.327          2.624
          0.218         19.909          6.327          2.542
          0.220         19.937          6.327          2.462
          0.222         19.964          6.328          2.384
          0.224         19.992          6.328          2.308
          0.226         20.019          6.328          2.233
          0.228         20.045          6.328          2.161
          0.230         20.073          6.328          2.087
          0.232         20.098          6.329          2.018
          0.233         20.123          6.329          1.951
          0.235         20.148          6.329          1.885
          0.237         20.171          6.329          1.821
          0.239         20.194          6.329          1.759
          0.241         20.216          6.329          1.698
          0.243         20.238          6.330          1.638
          0.245         20.259          6.330          1.577
          0.247         20.279          6.330          1.520
          0.249         20.297          6.330          1.465
          0.251         20.314          6.330          1.410
          0.253         20.331          6.331          1.357
          0.254         20.345          6.331          1.306
          0.256         20.359          6.331          1.255
          0.258         20.372          6.331          1.203
          0.260         20.382          6.331          1.155
          0.262         20.391          6.332          1.108
          0.264         20.399          6.332          1.062
          0.266         20.404          6.332          1.017
          0.268         20.408          6.332          0.972
          0.270         20.410          6.332          0.929
          0.272         20.410          6.333          0.887
          0.274         20.407          6.333          0.844
          0.276         20.402          6.333          0.804
          0.277         20.395          6.333          0.764
          0.279         20.385          6.334          0.726
          0.281         20.373          6.334          0.688
          0.283         20.357          6.334          0.651
          0.285         20.339          6.334          0.615
          0.287         20.318          6.334          0.580
          0.289         20.292          6.335          0.544
          0.291         20.264          6.335          0.510
          0.293         20.233          6.335          0.477
          0.295         20.198          6.335          0.445
          0.296         20.159          6.336          0.413
          0.298         20.117          6.336          0.382
          0.300         20.070          6.336          0.352
          0.302         20.016          6.336          0.321
          0.304         19.960          6.337          0.292
          0.306         19.900          6.337          0.264
          0.308         19.835          6.337          0.236
          0.310         19.765          6.337          0.209
          0.312         19.690          6.337          0.182
          0.314         19.609          6.338          0.156
          0.316         19.524          6.338          0.131
          0.318         19.427          6.338          0.105
          0.320         19.330          6.338          0.080
          0.321         19.226          6.339          0.057
          0.323         19.117          6.339          0.033
          0.325         19.001          6.339          0.011
          0.327         18.879          6.340         -0.012
          0.329         18.751          6.340         -0.034
          0.331         18.608          6.340         -0.056
          0.333         18.466          6.340         -0.077
          0.335         18.317          6.341         -0.098
          0.337         18.161          6.341         -0.118
          0.339         17.998          6.341         -0.137
          0.341         17.827          6.341         -0.156
          0.342         17.649          6.342         -0.175
          0.344         17.464          6.342         -0.194
          0.346         17.262          6.342         -0.212
          0.348         17.062          6.342         -0.230
          0.350         16.854          6.343         -0.247
          0.352         16.639          6.343         -0.264
          0.354         16.417          6.343         -0.281
          0.356         16.188          6.344         -0.297
          0.358         15.952          6.344         -0.312
          0.360         15.708          6.344         -0.328
          0.362         15.445          6.344         -0.344
          0.363         15.187          6.345         -0.358
          0.365         14.923          6.345         -0.373
          0.367         14.653          6.345         -0.387
          0.369         14.376          6.346         -0.401
          0.371         14.094          6.346         -0.414
          0.373         13.806          6.346         -0.427
          0.375         13.513          6.346         -0.440
          0.377         13.199          6.347         -0.454
          0.379         12.895          6.347         -0.466
          0.381         12.588          6.347         -0.478
          0.383         12.277          6.348         -0.490
          0.385         11.962          6.348         -0.501
          0.386         11.644          6.348         -0.512
          0.388         11.324          6.349         -0.523
          0.390         10.985          6.349         -0.534
          0.392         10.660          6.349         -0.545
          0.394         10.335          6.349         -0.555
