      freq (eV)    K-K (Drude)          Drude    Marachevsky     Gen_plasma      Bren_Borm         Lor-Dr
          0.050      22419.467      22084.917      11600.261      32746.896      12645.737      12157.154
          0.052      21062.371      20731.308      10972.084      30370.267      11949.386      11495.841
          0.054      19827.252      19499.745      10395.498      28243.334      11310.839      10889.052
          0.055      18694.094      18370.220       9862.167      26322.816      10720.748      10327.974
          0.057      17662.354      17342.144       9372.733      24600.345      10179.722       9813.248
          0.059      16715.294      16398.790       8920.063      23041.617       9679.781       9337.341
          0.061      15843.786      15531.022       8500.465      21626.515       9216.769       8896.342
          0.063      15035.868      14726.889       8108.742      20331.481       8784.883       8484.767
          0.065      14293.026      13987.831       7746.126      19155.304       8385.421       8103.889
          0.067      13601.383      13300.004       7406.294      18072.952       8011.361       7747.048
          0.069      12962.827      12665.250       7090.567      17084.801       7664.109       7415.613
          0.071      12368.958      12075.183       6795.153      16175.561       7339.449       7105.589
          0.073      11815.657      11525.678       6518.307      15337.048       7035.424       6815.131
          0.075      11296.660      11010.485       6257.154      14558.212       7218.307       6541.210
          0.077      10814.112      10531.708       6013.013      13840.870       6709.312       6285.200
          0.078      10362.325      10083.672       5783.230      13175.296       6399.387       6044.307
          0.080       9936.563       9661.657       5565.577      12553.502       6131.370       5816.188
          0.082       9538.935       9267.730       5361.302      11977.642       5889.136       5602.142
          0.084       9165.068       8897.534       5168.318      11440.537       5664.789       5399.975
          0.086       8813.087       8549.193       4985.795      10938.787       5455.288       5208.810
          0.088       8479.615       8219.344       4812.095      10466.978       5257.601       5026.928
          0.090       8166.586       7909.883       4648.337      10027.296       5072.374       4855.494
          0.092       7869.322       7616.166       4492.174       9612.674       4896.564       4692.046
          0.094       7589.654       7339.986       4344.657       9225.230       4731.104       4537.679
          0.096       7324.844       7078.622       4204.428       8860.765       4574.294       4390.969
          0.098       7073.848       6831.029       4071.007       8517.495       4425.477       4251.411
          0.099       6835.713       6596.253       3943.955       8193.808       4284.070       4118.539
          0.101       6607.260       6371.148       3821.629       7885.135       4148.180       3990.634
          0.103       6393.515       6160.654       3706.778       7598.003       4020.808       3870.568
          0.105       6190.115       5960.458       3597.117       7326.288       3899.372       3755.948
          0.107       5996.396       5769.898       3492.335       7068.904       3783.493       3646.447
          0.109       5811.749       5588.363       3392.142       6824.863       3672.825       3541.760
          0.111       5626.566       5406.405       3291.340       6581.396       3561.611       3436.454
          0.113       5458.824       5241.680       3199.750       6361.983       3460.669       3340.788
          0.115       5298.567       5084.393       3111.992       6153.375       3364.042       3249.139
          0.117       5145.353       4934.102       3027.852       5954.872       3271.482       3161.282
          0.119       4998.772       4790.397       2947.132       5765.832       3182.759       3077.009
          0.120       4858.442       4652.897       2869.647       5585.665       3097.660       2996.125
          0.122       4724.011       4521.251       2795.223       5413.821       3015.985       2918.448
          0.124       4595.150       4395.128       2723.702       5249.798       2937.551       2843.811
          0.126       4465.188       4268.000       2651.384       5085.077       2857.168       2768.353
          0.128       4346.824       4152.283       2585.357       4935.678       2784.851       2699.468
          0.130       4233.160       4041.221       2521.801       4792.777       2715.288       2633.170
          0.132       4123.947       3934.566       2460.594       4656.002       2648.338       2569.330
          0.134       4018.955       3832.090       2401.619       4525.008       2583.867       2507.826
          0.136       3917.968       3733.574       2344.770       4399.473       2521.754       2448.546
          0.138       3820.782       3638.819       2289.943       4279.099       2461.883       2391.381
          0.140       3727.208       3547.633       2237.043       4163.607       2404.146       2336.231
          0.142       3632.416       3455.311       2183.342       4047.023       2345.565       2280.253
          0.143       3545.710       3370.910       2134.121       3940.753       2291.899       2228.951
          0.145       3462.105       3289.571       2086.569       3838.622       2240.075       2179.392
          0.147       3381.455       3211.147       2040.609       3740.417       2190.011       2131.498
          0.149       3303.620       3135.500       1996.172       3645.940       2141.626       2085.195
          0.151       3228.471       3062.501       1953.189       3555.005       2094.845       2040.412
          0.153       3155.884       2992.027       1911.598       3467.436       2049.597       1997.083
          0.155       3082.118       2920.445       1869.256       3378.715       2003.552       1952.975
          0.157       3014.434       2854.800       1830.337       3297.554       1961.247       1912.438
          0.159       2948.979       2791.348       1792.637       3219.288       1920.282       1873.172
          0.161       2885.655       2729.992       1756.104       3143.781       1880.601       1835.126
          0.163       2824.370       2670.641       1720.692       3070.906       1842.151       1798.249
          0.165       2765.036       2613.208       1686.353       3000.542       1804.880       1762.493
          0.166       2707.571       2557.612       1653.045       2932.574       1768.741       1727.812
          0.168       2651.897       2503.774       1620.727       2866.895       1733.688       1694.165
          0.170       2595.147       2448.922       1587.734       2800.120       1697.915       1659.817
          0.172       2542.921       2398.468       1557.327       2738.827       1664.957       1628.163
          0.174       2492.272       2349.561       1527.795       2679.530       1632.959       1597.424
          0.176       2443.136       2302.136       1499.107       2622.142       1601.884       1567.563
          0.178       2395.454       2256.136       1471.229       2566.583       1571.696       1538.547
          0.180       2349.167       2211.503       1444.131       2512.777       1541.651       1510.345
          0.182       2304.222       2168.184       1417.784       2460.649       1513.138       1482.926
          0.184       2260.568       2126.128       1392.161       2410.132       1485.417       1456.261
          0.186       2215.955       2083.168       1365.942       2358.622       1457.059       1428.978
          0.188       2174.797       2043.553       1341.722       2311.207       1430.872       1403.776
          0.189       2134.786       2005.060       1318.149       2265.212       1405.391       1379.248
          0.191       2095.880       1967.645       1295.199       2220.580       1380.591       1355.370
          0.193       2058.038       1931.270       1272.851       2177.259       1356.447       1332.119
          0.195       2021.222       1895.896       1251.084       2135.197       1332.936       1309.472
          0.197       1985.394       1861.486       1229.877       2094.346       1310.038       1287.410
          0.199       1948.710       1826.270       1208.138       2052.603       1286.571       1264.795
          0.201       1914.802       1793.733       1188.023       2014.096       1264.862       1243.870
          0.203       1881.781       1762.059       1168.412       1976.667       1243.703       1223.470
