      freq (eV)         Mostep         Lor-Dr      Bren-Borm
          0.200          0.012          4.762         32.827
          0.200          0.052          0.132          0.000
          0.200          0.001          0.013          0.005
          0.200          0.042          0.071          0.004
          0.200          0.002          0.005          0.000
          0.200          0.003          0.000          0.000
          0.210          0.013          5.219         31.293
          0.210          0.055          0.140          0.001
          0.210          0.001          0.014          0.005
          0.210          0.044          0.075          0.004
          0.210          0.002          0.005          0.000
          0.210          0.003          0.000          0.000
          0.220          0.014          5.719         29.879
          0.220          0.057          0.149          0.001
          0.220          0.001          0.014          0.005
          0.220          0.046          0.079          0.004
          0.220          0.002          0.006          0.000
          0.220          0.003          0.000          0.000
          0.230          0.014          6.266         28.570
          0.230          0.060          0.158          0.001
          0.230          0.001          0.015          0.005
          0.230          0.048          0.082          0.004
          0.230          0.002          0.006          0.000
          0.230          0.003          0.000          0.000
          0.240          0.015          6.867         27.357
          0.240          0.062          0.167          0.001
          0.240          0.001          0.016          0.005
          0.240          0.050          0.086          0.004
          0.240          0.002          0.006          0.000
          0.240          0.003          0.000          0.000
          0.250          0.016          7.525         26.227
          0.250          0.065          0.176          0.001
          0.250          0.001          0.016          0.006
          0.250          0.052          0.090          0.004
          0.250          0.002          0.006          0.000
          0.250          0.003          0.000          0.000
          0.260          0.016          8.245         25.174
          0.260          0.068          0.186          0.001
          0.260          0.001          0.017          0.006
          0.260          0.054          0.093          0.004
          0.260          0.002          0.007          0.000
          0.260          0.003          0.000          0.000
          0.270          0.017          9.032         24.190
          0.270          0.070          0.196          0.001
          0.270          0.001          0.018          0.006
          0.270          0.056          0.097          0.004
          0.270          0.002          0.007          0.000
          0.270          0.004          0.000          0.000
          0.280          0.017          9.887         23.268
          0.280          0.073          0.206          0.001
          0.280          0.001          0.018          0.006
          0.280          0.058          0.100          0.004
          0.280          0.002          0.007          0.000
          0.280          0.004          0.000          0.000
          0.290          0.018         10.812         22.401
          0.290          0.076          0.217          0.001
          0.290          0.001          0.019          0.006
          0.290          0.060          0.104          0.005
          0.290          0.002          0.007          0.000
          0.290          0.004          0.000          0.000
          0.300          0.019         11.802         21.587
          0.300          0.078          0.228          0.001
          0.300          0.001          0.020          0.007
          0.300          0.062          0.108          0.005
          0.300          0.002          0.008          0.000
          0.300          0.004          0.000          0.000
          0.310          0.019         12.851         20.818
          0.310          0.081          0.240          0.001
          0.310          0.001          0.021          0.007
          0.310          0.064          0.111          0.005
          0.310          0.002          0.008          0.000
          0.310          0.004          0.000          0.000
          0.320          0.020         13.945         20.093
          0.320          0.084          0.253          0.001
          0.320          0.001          0.021          0.007
          0.320          0.067          0.115          0.005
          0.320          0.003          0.008          0.000
          0.320          0.004          0.000          0.000
          0.330          0.021         15.059         19.406
          0.330          0.086          0.266          0.001
          0.330          0.001          0.022          0.007
          0.330          0.069          0.119          0.005
          0.330          0.003          0.008          0.000
          0.330          0.004          0.000          0.000
          0.340          0.021         16.164         18.755
          0.340          0.089          0.279          0.001
          0.340          0.001          0.023          0.007
          0.340          0.071          0.122          0.005
          0.340          0.003          0.009          0.000
          0.340          0.004          0.000          0.000
          0.350          0.022         17.217         18.138
          0.350          0.092          0.294          0.001
          0.350          0.001          0.023          0.008
          0.350          0.073          0.126          0.005
          0.350          0.003          0.009          0.000
          0.350          0.005          0.000          0.000
          0.360          0.023         18.170         17.551
          0.360          0.094          0.309          0.001
          0.360          0.001          0.024          0.008
          0.360          0.075          0.130          0.005
          0.360          0.003          0.009          0.000
          0.360          0.005          0.000          0.000
          0.370          0.023         18.970         16.992
          0.370          0.097          0.324          0.001
          0.370          0.001          0.025          0.008
          0.370          0.077          0.133          0.005
          0.370          0.003          0.009          0.000
          0.370          0.005          0.000          0.000
          0.380          0.024         19.563         16.460
          0.380          0.100          0.341          0.001
          0.380          0.001          0.025          0.008
          0.380          0.079          0.137          0.005
          0.380          0.003          0.010          0.000
          0.380          0.005          0.000          0.000
          0.390          0.025         19.908         15.952
          0.390          0.102          0.358          0.001
          0.390          0.001          0.026          0.008
          0.390          0.081          0.141          0.006
          0.390          0.003          0.010          0.000
          0.390          0.005          0.000          0.000
          0.400          0.025         19.979         15.466
          0.400          0.105          0.377          0.001
          0.400          0.001          0.027          0.009
          0.400          0.083          0.145          0.006
          0.400          0.003          0.010          0.000
          0.400          0.005          0.000          0.000
          0.410          0.026         19.771         15.002
          0.410          0.108          0.396          0.001
          0.410          0.001          0.028          0.009
          0.410          0.085          0.148          0.006
          0.410          0.003          0.010          0.000
          0.410          0.005          0.000          0.000
          0.420          0.027         19.301         14.558
          0.420          0.111          0.417          0.001
          0.420          0.001          0.028          0.009
          0.420          0.087          0.152          0.006
          0.420          0.003          0.011          0.000
          0.420          0.005          0.000          0.000
          0.430          0.027         18.606         14.131
          0.430          0.113          0.438          0.001
          0.430          0.001          0.029          0.009
          0.430          0.090          0.156          0.006
          0.430          0.003          0.011          0.000
          0.430          0.006          0.000          0.000
          0.440          0.028         17.735         13.723
          0.440          0.116          0.461          0.001
          0.440          0.001          0.030          0.010
          0.440          0.092          0.159          0.006
          0.440          0.004          0.011          0.000
          0.440          0.006          0.000          0.000
          0.450          0.029         16.740         13.330
          0.450          0.119          0.486          0.001
          0.450          0.001          0.030          0.010
          0.450          0.094          0.163          0.006
          0.450          0.004          0.011          0.000
          0.450          0.006          0.000          0.000
          0.460          0.030         15.675         12.952
          0.460          0.122          0.511          0.001
          0.460          0.001          0.031          0.010
          0.460          0.096          0.167          0.006
          0.460          0.004          0.012          0.000
          0.460          0.006          0.000          0.000
          0.470          0.030         14.584         12.589
          0.470          0.124          0.539          0.001
          0.470          0.002          0.032          0.010
          0.470          0.098          0.171          0.007
          0.470          0.004          0.012          0.000
          0.470          0.006          0.000          0.000
          0.480          0.031         13.502         12.240
          0.480          0.127          0.568          0.001
          0.480          0.002          0.033          0.011
          0.480          0.100          0.175          0.007
          0.480          0.004          0.012          0.000
          0.480          0.006          0.000          0.000
          0.490          0.032         12.457         11.903
          0.490          0.130          0.599          0.001
          0.490          0.002          0.033          0.011
          0.490          0.102          0.178          0.007
          0.490          0.004          0.012          0.000
          0.490          0.006          0.000          0.000
          0.500          0.032         11.465         11.578
          0.500          0.133          0.632          0.001
          0.500          0.002          0.034          0.011
          0.500          0.104          0.182          0.007
          0.500          0.004          0.013          0.000
          0.500          0.007          0.000          0.000
          0.510          0.033         10.536         11.265
          0.510          0.136          0.668          0.001
          0.510          0.002          0.035          0.012
          0.510          0.106          0.186          0.007
          0.510          0.004          0.013          0.000
          0.510          0.007          0.000          0.000
          0.520          0.034          9.677         10.962
          0.520          0.138          0.706          0.001
          0.520          0.002          0.036          0.012
          0.520          0.108          0.190          0.007
          0.520          0.004          0.013          0.000
          0.520          0.007          0.000          0.000
          0.530          0.035          8.888         10.670
          0.530          0.141          0.746          0.001
          0.530          0.002          0.037          0.012
          0.530          0.111          0.194          0.007
          0.530          0.004          0.013          0.000
          0.530          0.007          0.000          0.000
          0.540          0.035          8.166         10.387
          0.540          0.144          0.789          0.001
          0.540          0.002          0.037          0.012
          0.540          0.113          0.197          0.008
          0.540          0.004          0.014          0.000
          0.540          0.007          0.000          0.000
          0.550          0.036          7.510         10.114
          0.550          0.147          0.835          0.001
          0.550          0.002          0.038          0.013
          0.550          0.115          0.201          0.008
          0.550          0.004          0.014          0.000
          0.550          0.007          0.000          0.000
          0.560          0.037          6.914          9.849
          0.560          0.150          0.884          0.001
          0.560          0.002          0.039          0.013
          0.560          0.117          0.205          0.008
          0.560          0.005          0.014          0.000
          0.560          0.007          0.000          0.000
          0.570          0.038          6.373          9.593
          0.570          0.153          0.937          0.002
          0.570          0.002          0.040          0.013
          0.570          0.119          0.209          0.008
          0.570          0.005          0.014          0.000
          0.570          0.007          0.000          0.000
          0.580          0.038          5.884          9.345
          0.580          0.155          0.993          0.002
          0.580          0.002          0.040          0.014
          0.580          0.121          0.213          0.008
          0.580          0.005          0.015          0.000
          0.580          0.008          0.000          0.000
          0.590          0.039          5.440          9.104
          0.590          0.158          1.053          0.002
          0.590          0.002          0.041          0.014
          0.590          0.123          0.217          0.008
          0.590          0.005          0.015          0.000
          0.590          0.008          0.000          0.000
          0.600          0.040          5.038          8.871
          0.600          0.161          1.118          0.002
          0.600          0.002          0.042          0.014
          0.600          0.125          0.221          0.008
          0.600          0.005          0.015          0.000
          0.600          0.008          0.000          0.000
          0.610          0.041          4.673          8.644
          0.610          0.164          1.186          0.002
          0.610          0.002          0.043          0.015
          0.610          0.127          0.225          0.009
          0.610          0.005          0.015          0.000
          0.610          0.008          0.000          0.000
          0.620          0.041          4.342          8.424
          0.620          0.167          1.260          0.002
          0.620          0.002          0.044          0.015
          0.620          0.130          0.229          0.009
          0.620          0.005          0.016          0.000
          0.620          0.008          0.000          0.000
          0.630          0.042          4.041          8.211
          0.630          0.170          1.338          0.002
          0.630          0.002          0.045          0.016
          0.630          0.132          0.233          0.009
          0.630          0.005          0.016          0.000
          0.630          0.008          0.000          0.000
          0.640          0.043          3.767          8.004
          0.640          0.173          1.420          0.002
          0.640          0.002          0.045          0.016
