      freq (eV)         Mostep         Lor-Dr      Bren-Borm
          0.050          0.762         11.471         43.160
          0.050          2.408          1.187          0.513
          0.050          0.093          0.657          1.791
          0.050          2.141          2.646          1.812
          0.050          0.244          2.015          0.174
          0.050          0.670          0.000          0.000
          0.052          0.762         11.480         41.117
          0.052          2.408          1.187          0.513
          0.052          0.093          0.657          1.791
          0.052          2.141          2.646          1.812
          0.052          0.244          2.015          0.174
          0.052          0.670          0.000          0.000
          0.054          0.762         11.489         39.187
          0.054          2.408          1.188          0.513
          0.054          0.093          0.657          1.791
          0.054          2.141          2.646          1.811
          0.054          0.244          2.015          0.174
          0.054          0.670          0.000          0.000
          0.055          0.763         11.498         37.354
          0.055          2.408          1.188          0.513
          0.055          0.093          0.657          1.791
          0.055          2.141          2.646          1.811
          0.055          0.244          2.015          0.174
          0.055          0.670          0.000          0.000
          0.057          0.763         11.507         35.628
          0.057          2.408          1.188          0.513
          0.057          0.093          0.657          1.791
          0.057          2.141          2.646          1.811
          0.057          0.244          2.015          0.174
          0.057          0.670          0.000          0.000
          0.059          0.763         11.517         33.992
          0.059          2.408          1.189          0.513
          0.059          0.093          0.657          1.791
          0.059          2.141          2.646          1.811
          0.059          0.244          2.015          0.174
          0.059          0.670          0.000          0.000
          0.061          0.763         11.527         32.442
          0.061          2.408          1.189          0.513
          0.061          0.093          0.657          1.791
          0.061          2.141          2.646          1.811
          0.061          0.244          2.015          0.174
          0.061          0.670          0.000          0.000
          0.063          0.763         11.538         30.963
          0.063          2.408          1.189          0.513
          0.063          0.093          0.657          1.791
          0.063          2.141          2.646          1.811
          0.063          0.244          2.015          0.174
          0.063          0.670          0.000          0.000
          0.065          0.763         11.549         29.565
          0.065          2.408          1.190          0.513
          0.065          0.093          0.657          1.791
          0.065          2.141          2.646          1.811
          0.065          0.244          2.015          0.174
          0.065          0.670          0.000          0.000
          0.067          0.763         11.560         28.231
          0.067          2.408          1.190          0.513
          0.067          0.093          0.657          1.791
          0.067          2.141          2.646          1.811
          0.067          0.244          2.015          0.174
          0.067          0.670          0.000          0.000
